term,count
consolidated,1
Cardiac Lymphoma,1
Partial lung resection,1
Cerclage wiring of fracture,1
effacement,1
Obstruction,1
Spur (body structure),1
Foot,1
Liver carcinoma,1
Upper,1
Resection of trachea,1
Bronchial stent,1
Highest,1
Radiodensity,1
Post,1
Aortic Aneurysm,1
Acromioclavicular joint structure,1
Interlobar bronchus,1
Esophageal tear,1
Bilateral pleural effusion,1
Thoracic outlet,1
Pectoral region structure,1
Veins,1
Thoracic scoliosis,1
PLZ4-coated Paclitaxel-loaded Micelle Formulation,1
Chronic Lymphocytic Leukemia,1
Pseudogout,1
6L,1
Pulmonary parenchymal infiltration,1
Dry,1
x-ray series of small bowel: air fluid levels,1
Basis - conceptual entity,1
Enlargement procedure,1
Volume,1
Flank (surface region),1
COPD exacerbation,1
Inflammation,1
Temperature,1
electrode,1
Heaviness in arm,1
Swelling of lower limb,1
Dialysis catheter,1
Structure of apex of right ventricle,1
Structure of anulus fibrosus of mitral orifice,1
portable x-ray of chest,1
"Pancreatitis, Acute",1
American Joint Committee on Cancer pNX,1
Bone structure of fifth rib,1
Partial Resection,1
Limb ischemia,1
azithromycin,1
Stria terminalis,1
Cervical spine,1
Surgical procedure on lumbar spine,1
Sputum production,1
Increased work of breathing,1
Septic embolus,1
Drain device,1
Pneumocystis jiroveci pneumonia,1
imaging studies,1
Azygos fissure,1
Medical Surveillance,1
Abdominal Abscess,1
Output.ileostomy,1
Midclavicular,1
Thymectomy,1
L1 innervation,1
Adenocarcinoma of pancreas,1
Heart Decompensation,1
Measures (attribute),1
external decompression,1
Carotid Arteries,1
No status change,1
Mildly enlarged,1
Qualitative Displacement,1
Structure of parenchyma of lung,1
Cough with fever,1
Mastectomy,1
Pleural plaque,1
Aortic tortuosity,1
Mediastinal Hemorrhage,1
Balloon pump,1
"Leukemia, Myelocytic, Acute",1
Wedge,1
Pelvis,1
Fibrothorax,1
Gastroparesis,1
heart; displacement,1
Antrum,1
Pseudocoarctation,1
Back surgery,1
Generator Dosage Form,1
Ventilated,1
Mucous plugging,1
Ejection fraction (procedure),1
CD4 Expressing Cell Count,1
Normal chest,1
Pathology procedure,1
examination of chest,1
Empty (qualifier),1
Tuberculosis,1
Chest clear,1
"Kidney Failure, Chronic",1
Precursor Cell Lymphoblastic Leukemia Lymphoma,1
Total body pain syndrome,1
Mitral Valve Prolapse Syndrome,1
Paratracheal,1
bilateral breast cancer,1
Cognitive Therapy,1
Stupor,1
Belly of skeletal muscle,1
Airway structure,1
Aortic arch calcification,1
Drug Overdose,1
Lung cyst,1
Views AP,1
5L,1
LVAD - Implantation of left ventricular assist device,1
Mitral valve endocarditis,1
Lesion of lung,1
Evaluates for hospital-acquired infection following the perioperative procedure,1
Central brand of multivitamin with minerals,1
Glioblastoma Multiforme,1
Hyperexpansion of the lungs,1
