study_id,accuracy,accuracy_normalized,is_shuffled,num_extracted_concepts,with_keywords_comet_score,without_keywords_comet_score,comet-score_delta,with_keywords_gemba_score,without_keywords_gemba_score,gemba
s56626600,0,0,FALSE,35,0.75012213,0.724688292,0.025433838,5,5,0
s50752069,0,0,TRUE,42,0.505787492,0.627231956,-0.121444464,10,35,-25
s51953863,0,0,TRUE,51,0.621297717,0.603275716,0.018022001,70,12,58
s53794212,-1,-1,TRUE,40,0.674946308,0.666596293,0.008350015,0,30,-30
s52551347,0,0,FALSE,49,0.659530818,0.611391425,0.048139393,0,12,-12
s53811464,0,0,TRUE,44,0.743666768,0.700174868,0.0434919,45,0,45
s56842514,0,0,FALSE,59,0.719823599,0.723362565,-0.003538966,15,25,-10
s59465936,1,1,TRUE,29,0.594376802,0.601123929,-0.006747127,10,5,5
s50666238,2,-2,FALSE,58,0.687490225,0.700387239,-0.012897015,25,5,20
s52594623,0,0,FALSE,49,0.73309809,0.6784513,0.05464679,78,5,73
s59323074,1,-1,FALSE,41,0.492584467,0.577871621,-0.085287154,5,2,3
s58314903,2,2,TRUE,45,0.75995338,0.704740644,0.055212736,15,2,13
s52230488,0,0,FALSE,37,0.641986847,0.713327408,-0.071340561,2,15,-13
s57039789,0,0,FALSE,42,0.714430809,0.693999529,0.02043128,15,5,10
s52311278,0,0,TRUE,47,0.588980317,0.580923915,0.008056402,5,35,-30
s55034771,0,0,FALSE,58,0.658140779,0.681313097,-0.023172319,22,3,19
s54036079,0,0,TRUE,34,0.730819106,0.781134248,-0.050315142,15,5,10
s51308514,0,0,TRUE,34,0.724552751,0.682315171,0.04223758,30,2,28
s53037980,-1,1,FALSE,38,0.772240281,0.657992125,0.114248157,12,2,10
s54143285,-3,3,FALSE,36,0.622189522,0.361002564,0.261186957,5,5,0
s52899741,2,-2,FALSE,100,0.368255436,0.477168977,-0.108913541,12,15,-3
s54869911,0,0,FALSE,44,0.670163989,0.702608705,-0.032444715,45,2,43
s50696269,0,0,FALSE,36,0.721289039,0.691516995,0.029772043,0,15,-15
s50732605,0,0,TRUE,33,0.743377626,0.725650549,0.017727077,5,5,0
s58662319,2,-2,FALSE,39,0.617107272,0.605283141,0.011824131,20,12,8
s50273751,1,-1,FALSE,63,0.500085473,0.613173366,-0.113087893,5,15,-10
s54085368,0,0,FALSE,43,0.723549724,0.697116613,0.02643311,0,5,-5
s57547828,-1,1,FALSE,35,0.6540308,0.596673012,0.057357788,5,5,0
s55244911,2,2,TRUE,51,0.666952372,0.495403647,0.171548724,55,10,45
s52902003,0,0,TRUE,27,0.677113831,0.703421235,-0.026307404,78,10,68
s54340462,1,1,TRUE,110,0.501708686,0.460851103,0.040857583,85,15,70
s56071333,1,1,TRUE,46,0.699337959,0.686781645,0.012556314,10,5,5
s58174737,0,0,FALSE,55,0.731866956,0.755425096,-0.02355814,5,10,-5
s56007331,-1,-1,TRUE,37,0.555069804,0.619251311,-0.064181507,2,5,-3
s53150132,1,-1,FALSE,45,0.768969059,0.686336815,0.082632244,30,15,15
s57035532,0,0,FALSE,46,0.697891831,0.665389121,0.032502711,30,2,28
s53166641,0,0,FALSE,44,0.629882813,0.644245625,-0.014362812,2,2,0
s56675054,2,2,TRUE,73,0.619781375,0.659219623,-0.039438248,2,8,-6
s57276045,0,0,TRUE,55,0.485187709,0.63983947,-0.154651761,30,5,25
s52712135,0,0,FALSE,82,0.664121151,0.621760011,0.04236114,15,10,5
s51964835,-1,1,FALSE,44,0.660962105,0.659044743,0.001917362,10,10,0
s52371947,0,0,FALSE,46,0.653117537,0.586589158,0.06652838,55,30,25
s56478460,1,-1,FALSE,46,0.610029817,0.697115421,-0.087085605,2,5,-3
s59359037,1,-1,FALSE,36,0.624274015,0.625684917,-0.001410902,60,30,30
s59621407,0,0,TRUE,46,0.59386915,0.590737343,0.003131807,55,5,50
s50003359,-4,4,FALSE,42,0.708566904,0.652588546,0.055978358,0,30,-30
s57147856,0,0,TRUE,70,0.689021826,0.631966829,0.057054996,45,5,40
s57625886,0,0,TRUE,55,0.653825164,0.671986103,-0.018160939,20,78,-58
s52448176,-2,-2,TRUE,48,0.610585928,0.681208253,-0.070622325,25,20,5
s58095046,0,0,FALSE,68,0.723687768,0.715178251,0.008509517,2,15,-13
s52406428,1,1,TRUE,41,0.548459053,0.638009787,-0.089550734,2,5,-3
s53412578,1,-1,FALSE,38,0.64482677,0.684509933,-0.039683163,15,2,13
s52569397,0,0,TRUE,39,0.740940213,0.698326707,0.042613506,0,5,-5
s50419155,0,0,FALSE,85,0.759888053,0.733032703,0.02685535,5,10,-5
s54856107,-1,1,FALSE,44,0.691179514,0.629962325,0.061217189,0,58,-58
s52987770,0,0,TRUE,31,0.701192796,0.64315021,0.058042586,2,10,-8
s58995214,0,0,TRUE,31,0.669294,0.672661543,-0.003367543,10,10,0
s57409773,0,0,FALSE,54,0.713836312,0.726719499,-0.012883186,5,30,-25
s56840358,-3,3,FALSE,50,0.54994607,0.423198253,0.126747817,15,5,10
s50154787,0,0,TRUE,41,0.665407538,0.710777879,-0.04537034,2,30,-28
s51037294,1,-1,FALSE,90,0.646145582,0.599534512,0.046611071,20,12,8
s50093179,0,0,TRUE,38,0.764581323,0.682643414,0.081937909,0,2,-2
s57830675,-1,-1,TRUE,37,0.642756343,0.516663671,0.126092672,85,15,70
s58908543,0,0,FALSE,30,0.635993719,0.614991367,0.021002352,5,12,-7
s52622898,-2,2,FALSE,26,0.538164377,0.644979,-0.106814623,12,10,2
s54712253,2,2,TRUE,65,0.705073833,0.66637373,0.038700104,20,30,-10
s55715555,0,0,FALSE,25,0.727562428,0.645195603,0.082366824,2,2,0
s56217740,1,1,TRUE,25,0.529279768,0.514457822,0.014821947,15,45,-30
s58474656,0,0,TRUE,47,0.574254155,0.575196922,-0.000942767,45,12,33
